CallDate,TriageCount
2020-03-18,2966
2020-03-19,3351
2020-03-20,2813
2020-03-21,3492
2020-03-22,3367
2020-03-23,3207
2020-03-24,2682
2020-03-25,2933
2020-03-26,2920
2020-03-27,2742
2020-03-28,3310
2020-03-29,3080
2020-03-30,2616
2020-03-31,2748
2020-04-01,3061
2020-04-02,2673
2020-04-03,2474
2020-04-04,2423
2020-04-05,2385
2020-04-06,2167
2020-04-07,2373
2020-04-08,2119
2020-04-09,1824
2020-04-10,1834
2020-04-11,1770
2020-04-12,1637
2020-04-13,1541
2020-04-14,1516
2020-04-15,1269
2020-04-16,1172
2020-04-17,1113
2020-04-18,1259
2020-04-19,1101
2020-04-20,1085
2020-04-21,956
2020-04-22,917
2020-04-23,927
2020-04-24,893
2020-04-25,995
2020-04-26,926
2020-04-27,964
2020-04-28,953
2020-04-29,919
2020-04-30,880
2020-05-01,767
2020-05-02,916
2020-05-03,853
2020-05-04,889
2020-05-05,733
2020-05-06,636
2020-05-07,716
2020-05-08,604
2020-05-09,668
2020-05-10,642
2020-05-11,635
2020-05-12,614
2020-05-13,586
2020-05-14,547
2020-05-15,527
2020-05-16,595
2020-05-17,512
2020-05-18,677
2020-05-19,579
2020-05-20,447
2020-05-21,324
2020-05-22,234
2020-05-23,293
2020-05-24,288
2020-05-25,315
2020-05-26,171
2020-05-27,203
2020-05-28,162
2020-05-29,189
2020-05-30,200
2020-05-31,202
2020-06-01,229
2020-06-02,189
2020-06-03,239
2020-06-04,213
2020-06-05,179
2020-06-06,213
2020-06-07,198
2020-06-08,192
2020-06-09,161
2020-06-10,160
2020-06-11,167
2020-06-12,173
2020-06-13,178
2020-06-14,189
2020-06-15,177
2020-06-16,149
2020-06-17,180
2020-06-18,188
2020-06-19,144
2020-06-20,152
2020-06-21,112
2020-06-22,150
2020-06-23,147
2020-06-24,120
2020-06-25,115
2020-06-26,128
2020-06-27,127
2020-06-28,126
2020-06-29,157
2020-06-30,152
2020-07-01,148
2020-07-02,125
2020-07-03,131
2020-07-04,151
2020-07-05,125
2020-07-06,124
2020-07-07,121
2020-07-08,147
2020-07-09,128
2020-07-10,123
2020-07-11,149
2020-07-12,105
2020-07-13,178
2020-07-14,157
2020-07-15,144
2020-07-16,144
2020-07-17,151
2020-07-18,153
2020-07-19,148
2020-07-20,175
2020-07-21,163
2020-07-22,148
2020-07-23,149
2020-07-24,125
2020-07-25,146
2020-07-26,134
2020-07-27,160
2020-07-28,114
2020-07-29,138
2020-07-30,119
2020-07-31,119
2020-08-01,119
2020-08-02,140
2020-08-03,171
2020-08-04,145
2020-08-05,142
2020-08-06,136
2020-08-07,136
2020-08-08,181
2020-08-09,144
2020-08-10,198
2020-08-11,178
2020-08-12,224
2020-08-13,169
2020-08-14,180
2020-08-15,196
2020-08-16,162
2020-08-17,229
2020-08-18,198
2020-08-19,234
2020-08-20,190
2020-08-21,196
2020-08-22,181
2020-08-23,153
2020-08-24,252
2020-08-25,211
2020-08-26,219
2020-08-27,225
2020-08-28,186
2020-08-29,191
2020-08-30,188
2020-08-31,256
2020-09-01,283
2020-09-02,301
2020-09-03,289
2020-09-04,257
2020-09-05,286
2020-09-06,347
2020-09-07,489
2020-09-08,597
2020-09-09,546
2020-09-10,638
2020-09-11,628
2020-09-12,706
2020-09-13,844
2020-09-14,1129
2020-09-15,1043
2020-09-16,1020
2020-09-17,872
2020-09-18,803
2020-09-19,732
2020-09-20,806
2020-09-21,1184
2020-09-22,978
2020-09-23,952
2020-09-24,779
2020-09-25,580
2020-09-26,477
2020-09-27,528
2020-09-28,803
2020-09-29,636
2020-09-30,646
2020-10-01,461
2020-10-02,489
2020-10-03,409
2020-10-04,438
2020-10-05,654
2020-10-06,584
2020-10-07,527
2020-10-08,562
2020-10-09,455
2020-10-10,368
2020-10-11,365
2020-10-12,585
2020-10-13,527
2020-10-14,489
2020-10-15,495
2020-10-16,373
2020-10-17,394
2020-10-18,388
2020-10-19,543
2020-10-20,601
2020-10-21,538
2020-10-22,457
2020-10-23,388
2020-10-24,408
2020-10-25,405
2020-10-26,437
2020-10-27,465
2020-10-28,442
2020-10-29,372
2020-10-30,303
2020-10-31,341
2020-11-01,404
2020-11-02,455
2020-11-03,403
2020-11-04,436
2020-11-05,421
2020-11-06,374
2020-11-07,354
2020-11-08,373
2020-11-09,602
2020-11-10,504
2020-11-11,524
2020-11-12,452
2020-11-13,463
2020-11-14,413
2020-11-15,414
2020-11-16,607
2020-11-17,575
2020-11-18,507
2020-11-19,453
2020-11-20,415
2020-11-21,460
2020-11-22,399
2020-11-23,545
2020-11-24,482
2020-11-25,465
2020-11-26,400
2020-11-27,366
2020-11-28,412
2020-11-29,425
2020-11-30,499
2020-12-01,410
2020-12-02,435
2020-12-03,473
2020-12-04,452
2020-12-05,500
2020-12-06,481
2020-12-07,649
2020-12-08,540
2020-12-09,623
2020-12-10,626
2020-12-11,631
2020-12-12,678
2020-12-13,731
2020-12-14,848
2020-12-15,866
2020-12-16,912
2020-12-17,940
2020-12-18,928
2020-12-19,1135
2020-12-20,1096
2020-12-21,1225
2020-12-22,1239
2020-12-23,1280
2020-12-24,1014
2020-12-25,1018
2020-12-26,1630
2020-12-27,1558
2020-12-28,1998
2020-12-29,1693
2020-12-30,1481
2020-12-31,1429
2021-01-01,1634
2021-01-02,1554
2021-01-03,1624
2021-01-04,1582
2021-01-05,1407
2021-01-06,1371
2021-01-07,1287
2021-01-08,1304
2021-01-09,1348
2021-01-10,1252
2021-01-11,1390
2021-01-12,1236
2021-01-13,1117
2021-01-14,966
2021-01-15,1014
2021-01-16,1046
2021-01-17,1033
2021-01-18,1075
2021-01-19,982
2021-01-20,944
2021-01-21,918
2021-01-22,828
2021-01-23,877
2021-01-24,714
2021-01-25,736
2021-01-26,673
2021-01-27,619
2021-01-28,647
2021-01-29,566
2021-01-30,542
2021-01-31,495
2021-02-01,533
2021-02-02,513
2021-02-03,470
2021-02-04,428
2021-02-05,391
2021-02-06,461
2021-02-07,375
2021-02-08,362
2021-02-09,294
2021-02-10,282
2021-02-11,302
2021-02-12,269
2021-02-13,301
2021-02-14,236
2021-02-15,307
2021-02-16,273
2021-02-17,243
2021-02-18,256
2021-02-19,242
2021-02-20,263
2021-02-21,269
2021-02-22,289
2021-02-23,223
2021-02-24,170
2021-02-25,154
2021-02-26,186
2021-02-27,212
2021-02-28,186
2021-03-01,227
2021-03-02,185
2021-03-03,160
2021-03-04,170
2021-03-05,194
2021-03-06,175
2021-03-07,175
2021-03-08,208
2021-03-09,171
2021-03-10,189
2021-03-11,175
